id_transazione,id_cliente,codice_prodotto,quantita,data_ora,nome_cliente,eta,livello_fedelta,citta_residenza,cap,email_verificata,categoria,prezzo_listino,sconto_categoria_pct,totale_lordo,totale_netto
1000,CLI_0052,3,4,2025-01-01 00:00:00,Cliente_CLI_0052,57,0,0,29129,True,0,25.0,15.0,100.0,85.0
1001,CLI_0093,1,4,2025-01-01 00:30:00,Cliente_CLI_0093,50,2,1,40087,True,2,450.0,10.0,1800.0,1620.0
1002,CLI_0015,3,5,2025-01-01 01:00:00,Cliente_CLI_0015,69,1,4,47265,True,0,25.0,15.0,125.0,106.25
1003,CLI_0072,2,2,2025-01-01 01:30:00,Cliente_CLI_0072,32,2,4,37082,False,1,80.0,0.0,160.0,160.0
1004,CLI_0061,0,5,2025-01-01 02:00:00,Cliente_CLI_0061,49,0,4,76672,True,1,120.0,5.0,600.0,570.0
1005,CLI_0021,1,2,2025-01-01 02:30:00,Cliente_CLI_0021,33,0,3,84859,False,2,450.0,10.0,900.0,810.0
1006,CLI_0083,0,5,2025-01-01 03:00:00,Cliente_CLI_0083,61,2,4,31563,False,1,120.0,5.0,600.0,570.0
1007,CLI_0087,0,3,2025-01-01 03:30:00,Cliente_CLI_0087,20,2,1,57837,False,1,120.0,5.0,360.0,342.0
1008,CLI_0075,1,3,2025-01-01 04:00:00,Cliente_CLI_0075,56,1,0,85932,True,2,450.0,10.0,1350.0,1215.0
1009,CLI_0075,3,3,2025-01-01 04:30:00,Cliente_CLI_0075,56,1,0,85932,True,0,25.0,15.0,75.0,63.75
1010,CLI_0088,0,3,2025-01-01 05:00:00,Cliente_CLI_0088,24,0,2,61027,False,1,120.0,5.0,360.0,342.0
1011,CLI_0100,2,1,2025-01-01 05:30:00,Cliente_CLI_0100,67,1,3,75641,True,1,80.0,0.0,80.0,80.0
1012,CLI_0024,0,3,2025-01-01 06:00:00,Cliente_CLI_0024,49,2,4,49974,False,1,120.0,5.0,360.0,342.0
