id_transazione,id_store,data,prodotto,quantita,unite_price,totale
1,STORE_003,2025-03-14,Tastiera,9,49.99,449.91
2,STORE_002,2025-03-24,Laptop,4,899.99,3599.96
3,STORE_003,2025-03-30,Monitor,4,199.99,799.96
4,STORE_002,2025-03-20,Mouse,5,19.99,99.95
5,STORE_002,2025-03-23,Mouse,4,19.99,79.96
6,STORE_002,2025-03-21,Laptop,4,899.99,3599.96
7,STORE_001,2025-03-16,Tastiera,7,49.99,349.93
8,STORE_001,2025-03-03,Tastiera,2,49.99,99.98
9,STORE_002,2025-03-23,Mouse,7,19.99,139.93
10,STORE_002,2025-03-26,Monitor,3,199.99,599.97
11,STORE_002,2025-03-14,Monitor,8,199.99,1599.92
12,STORE_002,2025-03-26,Monitor,8,199.99,1599.92
13,STORE_003,2025-03-05,Cuffie,1,29.99,29.99
14,STORE_001,2025-03-28,Laptop,6,899.99,5399.94
15,STORE_002,2025-03-08,Mouse,5,19.99,99.95
16,STORE_001,2025-03-13,Cuffie,7,29.99,209.93
17,STORE_003,2025-03-16,Tastiera,2,49.99,99.98
18,STORE_001,2025-03-01,Laptop,2,899.99,1799.98
19,STORE_002,2025-03-04,Laptop,5,899.99,4499.95
20,STORE_002,2025-03-28,Monitor,1,199.99,199.99
21,STORE_003,2025-03-13,Tastiera,8,49.99,399.92
22,STORE_002,2025-03-20,Cuffie,7,29.99,209.93
23,STORE_002,2025-03-18,Mouse,9,19.99,179.91
24,STORE_002,2025-03-19,Laptop,8,899.99,7199.92
25,STORE_002,2025-03-18,Cuffie,7,29.99,209.93
26,STORE_002,2025-03-20,Monitor,9,199.99,1799.91
27,STORE_001,2025-03-11,Tastiera,3,49.99,149.97
28,STORE_003,2025-03-01,Laptop,7,899.99,6299.93
29,STORE_001,2025-03-21,Cuffie,5,29.99,149.95
30,STORE_002,2025-03-14,Laptop,1,899.99,899.99
31,STORE_003,2025-03-24,Laptop,6,899.99,5399.94
32,STORE_003,2025-03-28,Laptop,9,899.99,8099.91
33,STORE_001,2025-03-05,Mouse,7,19.99,139.93
34,STORE_003,2025-03-30,Monitor,5,199.99,999.95
35,STORE_001,2025-03-11,Cuffie,3,29.99,89.97
36,STORE_002,2025-03-21,Tastiera,5,49.99,249.95
37,STORE_001,2025-03-24,Cuffie,1,29.99,29.99
38,STORE_001,2025-03-07,Monitor,1,199.99,199.99
39,STORE_001,2025-03-14,Cuffie,6,29.99,179.94
40,STORE_002,2025-03-04,Monitor,1,199.99,199.99
41,STORE_001,2025-03-04,Laptop,9,899.99,8099.91
42,STORE_003,2025-03-26,Cuffie,7,29.99,209.93
43,STORE_001,2025-03-23,Mouse,6,19.99,119.94
44,STORE_003,2025-03-13,Mouse,6,19.99,119.94
45,STORE_003,2025-03-08,Laptop,4,899.99,3599.96
46,STORE_002,2025-03-21,Tastiera,9,49.99,449.91
47,STORE_001,2025-03-26,Laptop,2,899.99,1799.98
48,STORE_001,2025-03-02,Monitor,9,199.99,1799.91
49,STORE_003,2025-03-08,Cuffie,4,29.99,119.96
50,STORE_003,2025-03-14,Mouse,8,19.99,159.92
51,STORE_003,2025-03-21,Monitor,9,199.99,1799.91
52,STORE_001,2025-03-11,Laptop,6,899.99,5399.94
53,STORE_002,2025-03-27,Mouse,2,19.99,39.98
54,STORE_001,2025-03-17,Monitor,5,199.99,999.95
55,STORE_003,2025-03-15,Laptop,4,899.99,3599.96
56,STORE_002,2025-03-18,Laptop,5,899.99,4499.95
57,STORE_002,2025-03-19,Tastiera,5,49.99,249.95
58,STORE_001,2025-03-12,Mouse,5,19.99,99.95
59,STORE_001,2025-03-04,Monitor,1,199.99,199.99
60,STORE_003,2025-03-26,Tastiera,1,49.99,49.99
61,STORE_002,2025-03-30,Cuffie,7,29.99,209.93
62,STORE_002,2025-03-12,Tastiera,9,49.99,449.91
63,STORE_001,2025-03-01,Laptop,5,899.99,4499.95
64,STORE_002,2025-03-12,Cuffie,9,29.99,269.91
65,STORE_001,2025-03-31,Laptop,1,899.99,899.99
66,STORE_002,2025-03-23,Monitor,2,199.99,399.98
