product_id,date,unit_price,quantity
1,2024-05-25,443.99,28
2,2024-01-01,7.5,39
3,2024-01-18,869.99,18
4,2023-11-19,987.99,62
5,2023-04-09,584.5,75
6,2023-01-18,846.0,66
7,2024-08-18,242.99,48
8,2023-04-17,847.99,17
9,2023-05-04,967.5,6
10,2024-07-23,225.99,87
11,2023-08-03,564.99,47
12,2023-04-07,866.99,16
13,2023-04-24,260.99,60
14,2024-09-30,129.95,41
15,2023-02-17,105.99,26
16,2023-03-15,639.99,46
17,2024-06-28,127.99,50
18,2023-08-13,334.5,1
19,2023-04-22,607.5,36
20,2024-02-14,166.95,30
21,2023-12-06,626.0,2
22,2023-09-11,565.99,84
23,2024-02-25,852.99,69
24,2024-08-31,771.99,31
25,2023-07-28,995.95,8
26,2023-03-10,494.99,94
27,2024-03-27,225.99,61
28,2023-01-03,527.99,66
29,2023-12-07,515.95,77
30,2023-02-09,860.99,68
31,2023-11-19,987.5,45
32,2024-08-19,367.95,52
33,2024-07-13,239.99,8
34,2024-05-19,673.99,89
35,2023-06-26,979.99,71
36,2023-05-16,952.99,14
37,2023-04-10,378.99,29
38,2024-01-16,289.99,64
39,2023-06-30,415.95,85
40,2023-12-25,772.99,37
41,2023-08-02,736.95,97
42,2024-09-22,234.0,41
43,2024-02-16,220.99,89
44,2023-10-18,248.99,64
45,2024-08-11,848.95,59
46,2024-11-11,881.99,78
47,2023-04-17,107.5,9
48,2024-07-30,732.99,79
49,2024-02-23,847.99,7
50,2024-01-30,112.99,66
51,2024-12-18,534.99,95
52,2023-05-27,159.0,71
53,2024-04-29,700.5,41
54,2023-09-29,853.95,75
55,2024-02-16,800.99,77
56,2023-06-08,71.95,77
57,2023-06-30,737.99,26
58,2024-08-05,392.99,8
59,2024-01-01,590.99,14
60,2024-01-07,190.95,45
61,2023-06-04,249.5,2
62,2024-12-21,217.95,42
63,2024-01-26,224.99,79
64,2023-09-13,28.95,57
65,2023-09-02,322.99,88
66,2023-12-26,17.95,64
67,2023-05-10,475.0,98
68,2024-07-09,898.99,4
69,2023-07-06,136.99,18
70,2023-12-24,294.95,89
71,2024-11-26,404.5,88
72,2024-06-21,768.95,70
73,2024-03-10,881.0,98
74,2023-11-02,192.99,51
75,2024-06-14,741.99,3
76,2024-04-10,889.0,19
77,2024-05-28,405.99,47
78,2023-02-21,90.99,46
79,2023-11-01,287.99,58
80,2023-02-26,212.99,36
81,2023-12-09,838.95,19
82,2024-05-30,114.99,92
83,2023-03-09,399.5,47
84,2023-05-20,697.95,55
85,2024-10-23,257.95,74
86,2024-04-18,90.95,82
87,2024-09-07,797.95,63
88,2024-05-04,578.99,68
89,2023-12-21,278.99,12
90,2023-01-04,957.99,27
91,2023-09-17,541.95,93
92,2023-08-11,9.95,76
93,2023-09-20,809.95,11
94,2023-09-23,21.99,4
95,2023-03-29,439.99,46
96,2023-01-15,761.5,59
97,2024-04-12,608.99,60
98,2023-07-18,992.99,24
99,2023-05-21,623.99,26
100,2024-03-14,748.99,28
