id_transazione,id_cliente,codice_prodotto,quantita,data_ora
1000,CLI_0052,PROD_D,4,2025-01-01 00:00:00
1001,CLI_0093,PROD_B,4,2025-01-01 00:30:00
1002,CLI_0015,PROD_D,5,2025-01-01 01:00:00
1003,CLI_0072,PROD_C,2,2025-01-01 01:30:00
1004,CLI_0061,PROD_A,5,2025-01-01 02:00:00
1005,CLI_0021,PROD_B,2,2025-01-01 02:30:00
1006,CLI_0083,PROD_A,5,2025-01-01 03:00:00
1007,CLI_0087,PROD_A,3,2025-01-01 03:30:00
1008,CLI_0075,PROD_B,3,2025-01-01 04:00:00
1009,CLI_0075,PROD_D,3,2025-01-01 04:30:00
1010,CLI_0088,PROD_A,3,2025-01-01 05:00:00
1011,CLI_0100,PROD_C,1,2025-01-01 05:30:00
1012,CLI_0024,PROD_A,3,2025-01-01 06:00:00
1013,CLI_0003,PROD_B,4,2025-01-01 06:30:00
1014,CLI_0022,PROD_B,4,2025-01-01 07:00:00
1015,CLI_0053,PROD_B,1,2025-01-01 07:30:00
1016,CLI_0002,PROD_D,3,2025-01-01 08:00:00
1017,CLI_0088,PROD_A,3,2025-01-01 08:30:00
1018,CLI_0030,PROD_D,3,2025-01-01 09:00:00
1019,CLI_0038,PROD_D,5,2025-01-01 09:30:00
1020,CLI_0002,PROD_B,2,2025-01-01 10:00:00
1021,CLI_0064,PROD_B,5,2025-01-01 10:30:00
1022,CLI_0060,PROD_D,2,2025-01-01 11:00:00
1023,CLI_0021,PROD_A,3,2025-01-01 11:30:00
1024,CLI_0033,PROD_C,3,2025-01-01 12:00:00
1025,CLI_0076,PROD_D,5,2025-01-01 12:30:00
1026,CLI_0058,PROD_A,5,2025-01-01 13:00:00
1027,CLI_0022,PROD_B,2,2025-01-01 13:30:00
1028,CLI_0089,PROD_B,4,2025-01-01 14:00:00
1029,CLI_0049,PROD_A,2,2025-01-01 14:30:00
1030,CLI_0091,PROD_C,5,2025-01-01 15:00:00
1031,CLI_0059,PROD_B,5,2025-01-01 15:30:00
1032,CLI_0042,PROD_B,1,2025-01-01 16:00:00
1033,CLI_0092,PROD_B,5,2025-01-01 16:30:00
1034,CLI_0060,PROD_A,1,2025-01-01 17:00:00
1035,CLI_0080,PROD_D,4,2025-01-01 17:30:00
1036,CLI_0015,PROD_B,2,2025-01-01 18:00:00
1037,CLI_0062,PROD_D,2,2025-01-01 18:30:00
1038,CLI_0062,PROD_C,1,2025-01-01 19:00:00
1039,CLI_0047,PROD_B,2,2025-01-01 19:30:00
1040,CLI_0062,PROD_B,5,2025-01-01 20:00:00
1041,CLI_0051,PROD_C,3,2025-01-01 20:30:00
1042,CLI_0055,PROD_B,1,2025-01-01 21:00:00
1043,CLI_0064,PROD_D,2,2025-01-01 21:30:00
1044,CLI_0003,PROD_A,1,2025-01-01 22:00:00
1045,CLI_0051,PROD_D,1,2025-01-01 22:30:00
1046,CLI_0007,PROD_A,3,2025-01-01 23:00:00
1047,CLI_0021,PROD_A,5,2025-01-01 23:30:00
1048,CLI_0073,PROD_D,1,2025-01-02 00:00:00
1049,CLI_0039,PROD_D,2,2025-01-02 00:30:00
1050,CLI_0018,PROD_D,4,2025-01-02 01:00:00
1051,CLI_0004,PROD_D,1,2025-01-02 01:30:00
1052,CLI_0089,PROD_C,1,2025-01-02 02:00:00
1053,CLI_0060,PROD_B,3,2025-01-02 02:30:00
1054,CLI_0014,PROD_A,5,2025-01-02 03:00:00
1055,CLI_0009,PROD_D,4,2025-01-02 03:30:00
1056,CLI_0090,PROD_D,2,2025-01-02 04:00:00
1057,CLI_0053,PROD_D,4,2025-01-02 04:30:00
1058,CLI_0002,PROD_C,2,2025-01-02 05:00:00
1059,CLI_0084,PROD_D,5,2025-01-02 05:30:00
1060,CLI_0092,PROD_D,2,2025-01-02 06:00:00
1061,CLI_0060,PROD_D,3,2025-01-02 06:30:00
1062,CLI_0071,PROD_B,3,2025-01-02 07:00:00
1063,CLI_0044,PROD_C,3,2025-01-02 07:30:00
1064,CLI_0008,PROD_D,3,2025-01-02 08:00:00
1065,CLI_0047,PROD_A,4,2025-01-02 08:30:00
1066,CLI_0035,PROD_A,5,2025-01-02 09:00:00
1067,CLI_0078,PROD_A,2,2025-01-02 09:30:00
1068,CLI_0081,PROD_C,2,2025-01-02 10:00:00
1069,CLI_0036,PROD_C,3,2025-01-02 10:30:00
1070,CLI_0050,PROD_A,3,2025-01-02 11:00:00
1071,CLI_0004,PROD_D,1,2025-01-02 11:30:00
1072,CLI_0002,PROD_C,5,2025-01-02 12:00:00
1073,CLI_0006,PROD_A,4,2025-01-02 12:30:00
1074,CLI_0054,PROD_A,2,2025-01-02 13:00:00
1075,CLI_0004,PROD_D,1,2025-01-02 13:30:00
1076,CLI_0054,PROD_B,1,2025-01-02 14:00:00
1077,CLI_0093,PROD_C,2,2025-01-02 14:30:00
1078,CLI_0063,PROD_D,4,2025-01-02 15:00:00
